vivienda;hogar;variedad;descripcion;id_unidad_medida_presentacion;cantidad_unidades_presentacion;contenido_empaque_presentacion;id_unidad_medida;cantidad_inicial;cantidad_final;consumo_exclusivo_hogar;factor_anual
112;1;6;FIEDOS O SPAGUETTIS (PASTAS);8;1;1;2;4;2;2;788.6658368756
112;1;7;ARROZ;NA;NA;NA;2;15;0;15;788.6658368756
112;1;8;CARNE DE RES;NA;NA;NA;2;1;0;1;788.6658368756
112;1;9;POLLO;NA;NA;NA;2;6;0;6;788.6658368756
112;1;13;LECHE LÍQUIDA;31;2;34;4;2;0;2;788.6658368756
112;1;14;LECHE EN POLVO;56;2;125;3;2;0;2;788.6658368756
112;1;16;ACEITE;20;1;2;4;1;0.5;0.5;788.6658368756
112;1;21;PICA PICA;63;1;75;3;4;0;4;788.6658368756
112;1;22;ATÚN EN AGUA;63;1;142;3;3;0;3;788.6658368756
112;1;27;HABICHUELAS SUELTAS;56;1;1;2;2;0;2;788.6658368756
112;1;28;HABICHUELAS ENLATADAS;63;2;425;3;2;1;1;788.6658368756
112;1;30;CHOCOLATE O COCOA;56;1;10;2;2;0;1;788.6658368756
122;1;4;HARÍNA DE MAÍZ;56;1;16;4;3;1;2;788.6658368756
122;1;5;AVENA;56;1;16;4;1;0;1;788.6658368756
122;1;7;ARROZ;NA;NA;NA;2;20;2.5;17.5;788.6658368756
122;1;16;ACEITE;57;1;8;2;1;0.5;0.5;788.6658368756
122;1;17;MANTEQUILLA;105;1;16;4;1;0.5;0.5;788.6658368756
122;1;28;HABICHUELAS ENLATADAS;63;2;425;3;2;0;2;788.6658368756
182;1;6;FIEDOS O SPAGUETTIS (PASTAS);NA;NA;NA;56;3;0;3;613.406762014355
182;1;16;ACEITE;NA;NA;NA;2;0.5;0;0.5;613.406762014355
409;1;4;HARÍNA DE MAÍZ;56;1;1;2;5;4;1;520.556249999998
409;1;5;AVENA;56;1;1;2;3;2;1;520.556249999998
409;1;6;FIEDOS O SPAGUETTIS (PASTAS);8;1;1;2;3;1;2;520.556249999998
409;1;7;ARROZ;NA;NA;NA;2;20;15;5;520.556249999998
409;1;13;LECHE LÍQUIDA;63;1;315;3;1;0;1;520.556249999998
409;1;15;HUEVOS;31;1;30;1;1;0;1;520.556249999998
409;1;16;ACEITE;57;1;64;4;1;0;1;520.556249999998
409;1;17;MANTEQUILLA;105;1;1;2;1;1;0;520.556249999998
409;1;18;SALAMI;81;1;4;2;1;0.5;0.5;520.556249999998
409;1;21;PICA PICA;63;1;425;3;6;6;0;520.556249999998
409;1;22;ATÚN EN AGUA;63;1;140;3;2;2;0;520.556249999998
409;1;23;ATÚN EN ACEITE;63;1;650;3;2;2;0;520.556249999998
409;1;24;PLÁTANO VERDE;NA;NA;NA;1;35;25;0;520.556249999998
409;1;29;AZUCARES;56;1;6;2;1;0;1;520.556249999998
471;1;3;GALLETAS SALADAS;23;1;34;3;10;0;10;347.037499999999
471;1;7;ARROZ;NA;NA;NA;2;0.5;0;0.5;347.037499999999
471;1;13;LECHE LÍQUIDA;31;2;17;4;1;0;1;347.037499999999
471;1;15;HUEVOS;NA;NA;NA;1;5;0;5;347.037499999999
471;1;16;ACEITE;57;1;64;4;0.5;0;0.5;347.037499999999
471;1;23;ATÚN EN ACEITE;63;1;142;3;2;0;2;347.037499999999
471;1;29;AZUCARES;56;1;1;2;0.5;0;0.5;347.037499999999
410;1;1;PANES;NA;NA;NA;1;12;6;6;520.556249999998
410;1;5;AVENA;NA;NA;NA;2;2;0.5;1.5;520.556249999998
410;1;6;FIEDOS O SPAGUETTIS (PASTAS);8;1;1;2;2;0;2;520.556249999998
410;1;7;ARROZ;NA;NA;NA;2;5;0;5;520.556249999998
410;1;13;LECHE LÍQUIDA;31;1;1;7;1;0;1;520.556249999998
410;1;14;LECHE EN POLVO;63;1;800;3;1;0;1;520.556249999998
410;1;15;HUEVOS;NA;NA;NA;1;10;0;10;520.556249999998
410;1;16;ACEITE;57;1;64;4;0.5;0;0.5;520.556249999998
410;1;17;MANTEQUILLA;105;1;1;2;1;0;1;520.556249999998
410;1;18;SALAMI;81;1;3;2;1;0;1;520.556249999998
410;1;20;SARDINAS EN ACEITE;63;1;400;3;3;0;3;520.556249999998
410;1;25;GUINEITO VERDE;NA;NA;NA;1;8;0;8;520.556249999998
410;1;29;AZUCARES;NA;NA;NA;2;4;0;4;520.556249999998
410;1;30;CHOCOLATE O COCOA;NA;NA;NA;1;4;0;4;520.556249999998
385;1;29;AZUCARES;NA;NA;NA;2;1;0;1;462.716666666665
374;1;2;GALLETAS DULCES;NA;NA;NA;1;3;0;3;347.037499999999
374;1;5;AVENA;56;1;650;3;1;0.5;0.5;347.037499999999
374;1;6;FIEDOS O SPAGUETTIS (PASTAS);8;1;400;3;3;0;3;347.037499999999
374;1;9;POLLO;NA;NA;NA;2;4;0;4;347.037499999999
374;1;13;LECHE LÍQUIDA;23;1;1;7;2;0;2;347.037499999999
374;1;15;HUEVOS;NA;NA;NA;1;8;0;8;347.037499999999
374;1;16;ACEITE;20;1;4;4;1;0.5;0.5;347.037499999999
374;1;17;MANTEQUILLA;105;1;4;2;1;0.5;0.5;347.037499999999
374;1;26;PAPAS;NA;NA;NA;2;2;0;2;347.037499999999
374;1;28;HABICHUELAS ENLATADAS;63;1;15;4;2;0;2;347.037499999999
374;1;29;AZUCARES;NA;NA;NA;2;3;0;3;347.037499999999
374;1;30;CHOCOLATE O COCOA;56;1;16;4;1;0.5;0.5;347.037499999999
400;1;7;ARROZ;NA;NA;NA;2;15;0;15;277.006944444444
