variable,clase
d802m10_2_forma,numeric
d802m11_2,logical
d802m11_2_monto,numeric
d802m11_2_pais,character
d802m11_2_moneda,character
d802m11_2_forma,numeric
d802m12_2,logical
d802m12_2_monto,numeric
d802m12_2_pais,character
d802m12_2_moneda,character
d802m12_2_forma,numeric
d802m1_3,numeric
d802m1_3_monto,logical
d802m1_3_pais,logical
d802m1_3_moneda,logical
d802m1_3_forma,logical
d802m2_3,logical
d802m2_3_monto,logical
d802m2_3_pais,logical
d802m2_3_moneda,logical
d802m2_3_forma,logical
d802m3_3,logical
d802m3_3_monto,logical
d802m3_3_pais,logical
d802m3_3_moneda,logical
d802m3_3_forma,logical
d802m4_3,logical
d802m4_3_monto,logical
d802m4_3_pais,logical
d802m4_3_moneda,logical
d802m4_3_forma,logical
d802m5_3,logical
d802m5_3_monto,logical
d802m5_3_pais,logical
d802m5_3_moneda,logical
d802m5_3_forma,logical
d802m6_3,logical
d802m6_3_monto,logical
d802m6_3_pais,logical
d802m6_3_moneda,logical
d802m6_3_forma,logical
d802m7_3,logical
d802m7_3_monto,logical
d802m7_3_pais,logical
d802m7_3_moneda,logical
d802m7_3_forma,logical
d802m8_3,logical
d802m8_3_monto,logical
d802m8_3_pais,logical
d802m8_3_moneda,logical
d802m8_3_forma,logical
d802m9_3,logical
d802m9_3_monto,logical
d802m9_3_pais,logical
d802m9_3_moneda,logical
d802m9_3_forma,logical
d802m10_3,logical
d802m10_3_monto,logical
d802m10_3_pais,logical
d802m10_3_moneda,logical
d802m10_3_forma,logical
d802m11_3,logical
d802m11_3_monto,logical
d802m11_3_pais,logical
d802m11_3_moneda,logical
d802m11_3_forma,logical
d802m12_3,logical
d802m12_3_monto,logical
d802m12_3_pais,logical
d802m12_3_moneda,logical
d802m12_3_forma,logical
d802m1_4,numeric
d802m1_4_monto,logical
d802m1_4_pais,logical
d802m1_4_moneda,logical
d802m1_4_forma,logical
d802m2_4,logical
d802m2_4_monto,logical
d802m2_4_pais,logical
d802m2_4_moneda,logical
d802m2_4_forma,logical
d802m3_4,logical
d802m3_4_monto,logical
d802m3_4_pais,logical
d802m3_4_moneda,logical
d802m3_4_forma,logical
d802m4_4,logical
d802m4_4_monto,logical
d802m4_4_pais,logical
d802m4_4_moneda,logical
d802m4_4_forma,logical
d802m5_4,logical
d802m5_4_monto,logical
d802m5_4_pais,logical
d802m5_4_moneda,logical
d802m5_4_forma,logical
d802m6_4,logical
d802m6_4_monto,logical
d802m6_4_pais,logical
d802m6_4_moneda,logical
d802m6_4_forma,logical
d802m7_4,logical
d802m7_4_monto,logical
d802m7_4_pais,logical
d802m7_4_moneda,logical
d802m7_4_forma,logical
d802m8_4,logical
d802m8_4_monto,logical
d802m8_4_pais,logical
d802m8_4_moneda,logical
d802m8_4_forma,logical
d802m9_4,logical
d802m9_4_monto,logical
d802m9_4_pais,logical
d802m9_4_moneda,logical
d802m9_4_forma,logical
d802m10_4,logical
d802m10_4_monto,logical
d802m10_4_pais,logical
d802m10_4_moneda,logical
d802m10_4_forma,logical
d802m11_4,logical
d802m11_4_monto,logical
d802m11_4_pais,logical
d802m11_4_moneda,logical
d802m11_4_forma,logical
d802m12_4,logical
d802m12_4_monto,logical
d802m12_4_pais,logical
d802m12_4_moneda,logical
d802m12_4_forma,numeric
d802m12_4_monto_rd,logical
pet,numeric
pea,numeric
ocupado,numeric
desocupado,numeric
orden_rama,numeric
grupo_rama,character
orden_ocupacion,numeric
grupo_ocupacion,character
orden_categoria,numeric
grupo_categoria,character
orden_edad,numeric
grupo_edad,character
orden_educacion,numeric
grupo_educacion,character
orden_sector,numeric
grupo_sector,character
orden_region,numeric
grupo_region,character
orden_empleo,numeric
grupo_empleo,character
escolaridad,numeric
salario_principal,numeric
comisiones_princ,numeric
propinas_princ,numeric
horas_extra_princ,numeric
viaticos_nac_princ,numeric
viaticos_ext_princ,numeric
pasajes_princ,numeric
representacion_princ,numeric
otros_pagos_mes_princ,numeric
bono_vacaciones_princ,numeric
bonificacion_princ,numeric
regalia_pascual_princ,numeric
antiguedad_princ,numeric
dividendos_princ,numeric
pago_educacion_princ,numeric
beneficios_extra_princ,numeric
util_empresariales_princ,numeric
otros_pagos_ano_princ,numeric
especie_alimento_princ,numeric
especie_vivienda_princ,numeric
especie_serv_residen_princ,numeric
especie_transporte_princ,numeric
especie_combustible_princ,numeric
especie_mant_vehiculo_princ,numeric
especie_celular,numeric
especie_otros_princ,numeric
ganancia_agro_princ,numeric
autocons_alimento_agro_princ,numeric
autocons_bienes_agro_princ,numeric
autocons_servicios_agro_princ,numeric
autocons_otro_agro_princ,numeric
salario_indep_princ,numeric
bono_vacaciones_indep_princ,numeric
bonificacion_indep_princ,numeric
regalia_pascual_indep_princ,numeric
antiguedad_indep_princ,numeric
dividendos_indep_princ,numeric
pago_educacion_indep_princ,numeric
beneficios_extra_indep_princ,numeric
util_empresariales_indep_princ,numeric
otros_pagos_ano_indep_princ,numeric
ganancia_indep_princ,numeric
autocons_alimento_indep_princ,numeric
autocons_bienes_indep_princ,numeric
autocons_servicios_indep_princ,numeric
autocons_otro_indep_princ,numeric
salario_secundario,numeric
beneficios_asalariado_secun,numeric
beneficios_asal_ano_secun,numeric
especie_asalariado_secun,numeric
ganancia_agro_secun,numeric
autocons_indep_secun,numeric
salario_indep_secun,numeric
pagos_ano_indep_secun,numeric
ganancia_indep_secun,numeric
autocons_agro_secun,numeric
otras_ocupaciones,numeric
ayuda_especie,numeric
alimento_escuela,numeric
remesas_nac,numeric
pago_servicios,numeric
empresas_becas,numeric
estado_becas,numeric
ong_becas,numeric
pension,numeric
