variedad;descripcion;unidad_nombre;id_unidad_medida_presentacion;frecuencia_real;n_usable;n_total_combo;FC_propuesto;p25;p75;dispersión_relativa;confianza;fuente;nota_revision
13;LECHE LÍQUIDA;Jarro;60.0;3;3;3;315.0;229.5;315.0;0.27;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
9;POLLO;Funda;56.0;3;3;3;907.2;907.2;1587.6;0.75;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
13;LECHE LÍQUIDA;Cajita;25.0;3;3;3;226.8;226.8;269.3;0.19;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
5;AVENA;Pote;87.0;3;3;3;464.0;458.8;487.0;0.06;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
30;CHOCOLATE O COCOA;Botella;20.0;2;2;2;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
14;LECHE EN POLVO;Caja;23.0;2;2;2;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
17;MANTEQUILLA;Lata;63.0;2;2;2;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
1;PANES;Paquete;8.0;2;0;2;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
4;HARÍNA DE MAÍZ;Caja;23.0;2;2;2;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
18;SALAMI;Unidad;1.0;2;1;2;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
30;CHOCOLATE O COCOA;Lata;63.0;2;1;2;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
2;GALLETAS DULCES;Racimo;91.0;1;0;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
2;GALLETAS DULCES;Pote;87.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
2;GALLETAS DULCES;Lata;63.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
1;PANES;Rebanada;93.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
5;AVENA;Lata;63.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
5;AVENA;Tarro;105.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
3;GALLETAS SALADAS;Cartón;31.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
4;HARÍNA DE MAÍZ;Sobre;98.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
9;POLLO;Lata;63.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
9;POLLO;Cajita;25.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
9;POLLO;Unidad;1.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
12;MARISCOS;Caja;23.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
15;HUEVOS;Caja;23.0;1;0;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
13;LECHE LÍQUIDA;Paquete;8.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
13;LECHE LÍQUIDA;Funda;56.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
14;LECHE EN POLVO;Unidad;1.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
27;HABICHUELAS SUELTAS;Saco;97.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
27;HABICHUELAS SUELTAS;Lata;63.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
27;HABICHUELAS SUELTAS;Tarro;105.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
22;ATÚN EN AGUA;Pote;87.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
18;SALAMI;Tarro;105.0;1;0;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
18;SALAMI;Trozo;111.0;1;0;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
17;MANTEQUILLA;Caja;23.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
26;PAPAS;Racimo;91.0;1;0;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
18;SALAMI;;113.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
22;ATÚN EN AGUA;Caja;23.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
22;ATÚN EN AGUA;Cartón;31.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
30;CHOCOLATE O COCOA;Cartón;31.0;1;1;1;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
