id_vivienda;id_hogar;id_hogar_unico;id_variedad;descripcion;id_unidad_medida_presentacion;id_unidad_medida;Q;cantidad_inicial;cantidad_final;factor_anual;unidad_a_convertir;fc_universal;fc_especifico;fc;descripcion_engih;enhance_id;fuente;tipo_equivalencia;validado;edible;PM
303;1;303_1;6;FIEDOS O SPAGUETTIS (PASTAS);56;2;0;1;1;277.006944444444;56;NA;NA;NA;FIEDOS O SPAGUETTIS (PASTAS);70213060;INCAP;directa;TRUE;1,00;7
303;1;303_1;7;ARROZ;NA;2;0;20;20;277.006944444444;2;453.592;NA;453.592;ARROZ;70213002;INCAP;directa;TRUE;1,00;7
303;1;303_1;13;LECHE LÍQUIDA;63;3;0;3;3;277.006944444444;63;NA;NA;NA;LECHE LíQUIDA;70201015;INCAP;directa;TRUE;1,00;7
303;1;303_1;16;ACEITE;57;7;0.75;1;0.25;277.006944444444;57;3785.41;3785410;3785.41;ACEITE;70216010;INCAP;directa;TRUE;1,00;7
303;1;303_1;20;SARDINAS EN ACEITE;63;3;2;3;1;277.006944444444;63;NA;NA;NA;SARDINAS EN ACEITE;70208039;INCAP;directa;TRUE;1,00;7
303;1;303_1;29;AZUCARES;NA;2;2;2;0;277.006944444444;2;453.592;NA;453.592;AZUCARES;70215001;INCAP;directa;TRUE;1,00;7
470;1;470_1;3;GALLETAS SALADAS;8;4;9;9;0;347.037499999999;8;NA;NA;NA;GALLETAS SALADAS;70214010;INCAP;directa;TRUE;1,00;7
470;1;470_1;5;AVENA;56;3;1;1;0;347.037499999999;56;NA;NA;NA;AVENA;70213008;INCAP;directa;TRUE;1,00;7
470;1;470_1;6;FIEDOS O SPAGUETTIS (PASTAS);56;3;2;2;0;347.037499999999;56;NA;NA;NA;FIEDOS O SPAGUETTIS (PASTAS);70213060;INCAP;directa;TRUE;1,00;7
470;1;470_1;7;ARROZ;97;2;0.5;1;0.5;347.037499999999;97;NA;NA;NA;ARROZ;70213002;INCAP;directa;TRUE;1,00;7
470;1;470_1;13;LECHE LÍQUIDA;31;4;2;2;0;347.037499999999;31;NA;NA;NA;LECHE LíQUIDA;70201015;INCAP;directa;TRUE;1,00;7
470;1;470_1;16;ACEITE;57;4;0.5;1;0.5;347.037499999999;57;3785.41;3785410;3785.41;ACEITE;70216010;INCAP;directa;TRUE;1,00;7
